"last_name, first_name","player_id","year","ff_avg_speed","ff_avg_spin","p_formatted_ip","p_game","n_ff_formatted","n_si_formatted","n_sl_formatted","n_cu_formatted","n_ch_formatted","n_fc_formatted","p_era"
"Hill, Tim",657612,2023,"90.6","2198","44.1","48","46.9","43.4","5.3",,,"4.3","5.48"
"Gallegos, Giovanny",606149,2023,"93.7","2337","55.0","56","50.3",,"46.3",,"3.4",,"4.42"
"Germán, Domingo",593334,2023,"92.3","2508","108.2","20","27.7","10.8",,"40.9","20.6",,"4.56"
"Jiménez, Joe",641729,2023,"95.3","2431","56.1","59","62.2",,"30.7",,"7.1",,"3.04"
"Vasquez, Andrew",607755,2023,"89.1","2221","48.1","42","7.3","4.3","81.8","5","1.5",,"3.35"
"Armstrong, Shawn",542888,2023,"94.5","2383","52.0","39","20.7","34.3",,,,"37.6","1.38"
"Vesia, Alex",681911,2023,"94.4","2362","49.2","56","67.9","0.2","30.5",,"1.4",,"4.35"
"Walker, Taijuan",592836,2023,"92.8","2114","172.2","31","17.6","23.2",,"5.7",,"17.2","4.38"
"Feltner, Ryan",663372,2023,"94.8","2286","43.1","10","26.8","18.3","31.1","8.9","14.8",,"5.82"
"Mayza, Tim",641835,2023,,,"53.1","69",,"76.5","23.5",,,,"1.52"
"Bradish, Kyle",680694,2023,"94.5","2383","168.2","30","22.2","22.7","31.2","17.3","6.6",,"2.83"
"Wentz, Joey",666214,2023,"93.4","2222","105.2","25","41.6",,,"15.8","17.5","25.1","6.90"
"Farmer, Buck",571656,2023,"93.9","2301","75.0","71","42.8","0.4","33.9",,"22.9",,"4.20"
"Wood, Alex",622072,2023,"91.5","2114","97.2","29","0.1","44.5","26.1",,"29.3",,"4.33"
"Minter, A.J.",621345,2023,"95.8","2426","64.2","70","47.2",,,,"13.9","38.9","3.76"
"Oviedo, Johan",670912,2023,"95.8","2269","177.2","32","38.8","5.2","36.6","15.1","4.2",,"4.31"
"Bickford, Phil",641360,2023,"93.7","2354","67.1","61","71","0.1","26.9",,"2",,"4.95"
"Harris, Hogan",663687,2023,"92.6","2266","63.0","14","46.9",,,"3.3","20.3","18.9","7.14"
"Anderson, Tyler",542881,2023,"90.1","2218","141.0","27","37.4","5.6","0.8","0.2","33.9","22.1","5.43"
"Lyles, Jordan",543475,2023,"91.2","2251","177.2","31","30.3","13.4",,"13.1","10.9","7.6","6.28"
"Boyd, Matthew",571510,2023,"91.4","2503","71.0","15","38.5","7","28.4","7.4","18.7",,"5.45"
"Manning, Matt",666159,2023,"93.4","2136","78.0","15","47.6",,,"17.3","3.6",,"3.58"
"Muñoz, Andrés",662253,2023,"99.2","2296","49.0","52","32.3","19.1","48.6",,,,"2.94"
"Middleton, Keynan",641871,2023,"95.5","2392","50.2","51","26.3",,"30.8",,"42.9",,"3.38"
"Alexander, Scott",518397,2023,"92.2","2291","48.1","55","0.4","75.2","16",,"8.4",,"4.66"
"Rasmussen, Drew",656876,2023,"95.7","2519","44.2","8","29.4","12.3",,"7.3",,"36.1","2.62"
"Brasier, Ryan",518489,2023,"95.7","2293","59.2","59","36.4","14.9","35.4",,,"13.4","3.02"
"Wacha, Michael",608379,2023,"92","2053","134.1","24","28.7","13.3","0.3","11","34.5","12.2","3.22"
"Long, Sam",669674,2023,"94","2263","45.0","40","49.5",,"12.4","30.5","2.2",,"5.60"
"Snell, Blake",605483,2023,"95.5","2430","180.0","32","48.6","0.1","13.1","19.8","18.4",,"2.25"
"Fried, Max",608331,2023,"94","2230","77.2","14","32.1","12.9","6.4","23.1","16.5","4.4","2.55"
"Taillon, Jameson",592791,2023,"93.7","2332","154.1","30","35.3","9.6","0.4","14.8","3","21.8","4.84"
"Webb, Logan",657277,2023,"92.6","1979","216.0","33","4.1","33.2",,,"41.6",,"3.25"
"Garrett, Braxton",666129,2023,"90.7","2273","159.2","31","7.5","31.7","17.7","8.3","8.8",,"3.66"
"Bradford, Cody",674003,2023,"90.4","2122","56.0","20","54.5",,"4.4",,"27.7","13.3","5.30"
"Scholtens, Jesse",669947,2023,"92.8","2058","85.0","26","43.4",,"36.6","16.5","3",,"5.29"
"Stratton, Chris",608717,2023,"93.1","2544","82.2","64","54.3","0.4","19.3","18.6","7.1",,"3.92"
"Marinaccio, Ron",676760,2023,"93.8","2269","47.1","45","51.5","0.1",,,"37.2",,"3.99"
"Gray, Jon",592351,2023,"95.7","2009","157.1","29","42.2","0.2","33.5","6.2","11.6",,"4.12"
"Quintana, Jose",500779,2023,"90.2","2083","75.2","13","24.5","32.1",,"20.4","18.1",,"3.57"
"Burnes, Corbin",669203,2023,,,"193.2","32",,"7.7","3.9","17.2","11.2","55.4","3.39"
"Lynch IV, Daniel",663738,2023,"92.6","2151","52.1","9","42.5","2.4","18.7","8.5","28",,"4.64"
"Singer, Brady",663903,2023,"92.4","2315","159.2","29","1.6","49.5","42",,"6.3",,"5.52"
"Bard, Daniel",453268,2023,"94.6","2537","49.1","50","9.5","41.6","45.3",,"0.2",,"4.56"
"Martinez, Seth",661527,2023,"91.1","2163","43.0","35","40.1","17",,,"16.1",,"5.23"
"Duran, Jhoan",661395,2023,"101.8","2097","62.1","59","45.1",,,"27.7",,,"2.45"
"Lugo, Seth",607625,2023,"93.4","2267","146.1","26","31.7","19.9","8.6","28.7","5.6","0.2","3.57"
"Nola, Aaron",605400,2023,"92.7","2306","193.2","32","29.7","18.7",,"31.6","12.5","7.5","4.46"
"Banks, Tanner",621383,2023,"92.6","2241","61.0","32","35.3","2.9","30.4",,"16.5",,"4.43"
"Gilbert, Logan",669302,2023,"95.7","2000","190.2","32","41.8","0.4","29.7","13.4",,,"3.73"
"Díaz, Alexis",664747,2023,"94.5","2549","67.1","71","48.3","0.3","51.5",,,,"3.07"
"Kikuchi, Yusei",579328,2023,"95.1","2339","167.2","32","45.2","0.4","26.3","18.9","9.1",,"3.86"
"Bassitt, Chris",605135,2023,"92.4","2153","200.0","33","9.3","39.2","4.6","12.6","6.5","15.4","3.60"
"Williamson, Brandon",682227,2023,"92.8","2149","117.0","23","37.1","0.1","0.8","6.3","16.5","29.8","4.46"
"Alcantara, Sandy",645261,2023,"98","2254","184.2","28","21.4","29","2.8",,"27.3","19.6","4.14"
"Sánchez, Cristopher",650911,2023,"93.9","1855","99.1","19","0.1","46","21.1",,"32.8",,"3.44"
"Clarke, Taylor",664199,2023,"94.8","2249","59.0","58","29",,"37",,"15.4",,"5.95"
"Cosgrove, Tom",676680,2023,"92","2344","51.1","54","24","23.4",,,"0.4",,"1.75"
"Shaw, Bryan",543766,2023,,,"45.2","38",,"12.5",,"14","2.7","50.6","4.14"
"Morgan, Eli",669212,2023,"92.5","2272","67.1","61","40.4",,"25.4","2.5","31.7",,"4.01"
"Sears, JP",676664,2023,"93.1","2135","172.1","32","50.1","0.1","15.4","0","15.1",,"4.54"
"Nelson, Ryne",669194,2023,"94.4","2210","144.0","29","54.5","0","11","5.2","13.3","13","5.31"
"Cobb, Alex",502171,2023,"95.6","2108","151.1","28","0.5","39.4","5.1","16.2",,,"3.87"
"Martinez, Adrián",661309,2023,"93.8","2110","55.0","22","58","1.2","17.4",,"23.4",,"4.75"
"Hamilton, Ian",641656,2023,"96.2","2309","58.0","39","22.2","23.6","54.2",,,,"2.64"
"Fleming, Josh",676596,2023,"91.5","1768","51.2","12","4.7","44.1",,"22.1","29",,"4.70"
"Santos, Gregory",666619,2023,"97.2","2365","66.1","60","0.3","45.8","52.6",,"1.2",,"3.39"
"Bradley, Taj",671737,2023,"96.1","2291","104.2","23","44.9","0.1",,"16.7",,"24.8","5.59"
"Williams, Devin",642207,2023,"94.2","2322","58.2","61","39",,,,"57.9","3.1","1.53"
"Pearson, Nate",663878,2023,"97.9","2304","42.2","35","61.9",,"23.9","14.2",,,"4.85"
"Jansen, Kenley",445276,2023,,,"44.2","51",,"10.8","11.9",,,"77.3","3.63"
"Stripling, Ross",548389,2023,"92.4","2157","89.0","22","26.5","9","27.4","9.9","24.4","1.9","5.36"
"Adon, Joan",672851,2023,"94.5","2221","51.2","12","40.6","12.6","11.3","20.5","15.2",,"6.45"
"Kahnle, Tommy",592454,2023,"95.3","2157","40.2","42","17.4","4.7","2.3",,"75.6",,"2.66"
"Kopech, Michael",656629,2023,"95.2","2499","129.1","30","61.6",,"27.7","3.9","6.8","0","5.43"
"Woodford, Jake",663765,2023,"92.5","2203","47.2","15","6.2","50.8","1","10.1","4.1","5.6","6.23"
"Law, Derek",571882,2023,"95.5","2134","55.0","54","19.4","11.7","18.1","10.4","4.8","35.6","3.60"
"Ginkel, Kevin",656464,2023,"95.7","2400","65.1","60","46","11","43",,,,"2.48"
"Winckowski, Josh",670174,2023,"96","2229","84.1","60","5.1","38.1","20.1",,"5.1","31.6","2.88"
"Yates, Kirby",489446,2023,"93.6","2314","60.1","61","53.9",,"0.2",,,,"3.28"
"Hill, Rich",448179,2023,"88.4","2204","146.1","32","34","4.2","1.9","36.1","2.2","14.7","5.41"
"Sborz, Josh",622250,2023,"96.9","2316","52.1","44","36.2",,"38","25.8",,,"5.50"
"Yarbrough, Ryan",642232,2023,"87","1874","89.2","25","30.9",,,,"18.3","24.8","4.52"
"Castro, Miguel",612434,2023,"96.5","2231","64.2","75","3.8","39.1","41.7",,"15.5",,"4.31"
"Pérez, Cionel",672335,2023,"96.8","2171","53.1","65","26.5","37.1","0.1","6.5",,,"3.54"
"Avila, Pedro",658648,2023,"94.1","2238","50.1","14","30.4","23",,"20.1","25.6",,"3.22"
"Musgrove, Joe",605397,2023,"93.1","2581","97.1","17","24.6","5.3","14.4","23.9","11.4","20.4","3.05"
"Holderman, Colin",670059,2023,"97.8","2182","56.0","58","0.1","50",,,,"20.3","3.86"
"Megill, Tylor",656731,2023,"94.9","2126","126.1","25","55.6","0.6","20.7","8.6","14",,"4.70"
"Stroman, Marcus",573186,2023,"92","2412","136.2","27","8.3","46.4","5.1",,,"9.6","3.95"
"Montero, Rafael",606160,2023,"96.1","2352","67.1","68","49.2","14.7","14",,"22.1",,"5.08"
"Wilson, Steven",621051,2023,"94.4","2386","53.0","52","36.4",,,,"3.2","0.9","3.91"
"Ryu, Hyun Jin",547943,2023,"88.7","2066","52.0","11","27.5","13.9",,"17.1","22.8","18.8","3.46"
"Valdez, Framber",664285,2023,"94.5","2121","198.0","31","0.2","46.8","8.7","25.3","15.6","3.4","3.45"
"Cano, Yennier",666974,2023,"96.5","2231","72.2","72","3.3","55.3","13.5",,"27.9",,"2.11"
"Verlander, Justin",434378,2023,"94.3","2428","162.1","27","50",,"25.3","20","4.7",,"3.22"
"May, Dustin",669160,2023,"97.3","2325","48.0","9","27.5","33.3","12.9",,"4.4","14.6","2.63"
"Lawrence, Justin",664875,2023,,,"75.0","69",,"51.3",,,,,"3.72"
"Beck, Tristan",663941,2023,"94.7","2103","85.0","33","36.6","0.1","33.1","7.9","0.4",,"3.92"
"Stephenson, Robert",596112,2023,"96.8","2394","52.1","60","23.6",,"24.1","0.3",,"41.4","3.10"
"Graterol, Brusdar",660813,2023,"98.3","2066","67.1","68","10.5","43.4","24.3",,,"21.7","1.20"
"Brito, Jhony",666745,2023,"95.8","2118","90.1","25","16.5","32.7","1.7","10.4","29",,"4.28"
"Williams, Gavin",668909,2023,"95.7","2218","82.0","16","55.4",,"22.1","17","5.6",,"3.29"
"Bieber, Shane",669456,2023,"91.3","2242","128.0","21","35.2",,"20.8","13.6","3.5","27","3.80"
"Pressly, Ryan",519151,2023,"94.7","2557","65.1","65","23.1","0.2","40","26.6","8.9","1.2","3.58"
"Zerpa, Angel",672582,2023,"94.5","2027","42.2","15","33.7","23.1","23.9",,"19.4",,"4.85"
"Englert, Mason",669438,2023,"91.1","2166","56.0","31","30.3",,"35.6","0.7","26.7",,"5.46"
"Fulmer, Michael",605242,2023,"94.2","2426","57.0","58","28.5","11.2",,"0.1","7.7","22","4.42"
"Muller, Kyle",666205,2023,"93.5","2410","77.0","21","51.5",,"25.3","14.9","8.3",,"7.60"
"Maeda, Kenta",628317,2023,"91","2273","104.1","21","27","6.8","22.1","3.6",,,"4.23"
"Walker, Ryan",676254,2023,"94.4","2263","61.1","49","1.1","48.5","50.4",,,,"3.23"
"Saucedo, Tayler",642048,2023,"93","2460","47.2","52","2.4","39.8","13.9","5.7","25.9",,"3.59"
"Woodruff, Brandon",605540,2023,"95.8","2410","67.0","11","41.2","21.8","9.8","7.6","19.7",,"2.28"
"Liberatore, Matthew",669461,2023,"94.2","2135","61.2","22","36.7","19.9","12.7","22.4","8.1","0.1","5.25"
"Cruz, Fernando",518585,2023,"94.3","2230","66.0","58","35","0.6","4.6",,,"23.9","4.91"
"Kimbrel, Craig",518886,2023,"95.8","2357","69.0","71","67.2",,,"31.8",,,"3.26"
"Rogers, Tyler",643511,2023,"83.2","2005","74.0","68","1","50.2","48.8",,,,"3.04"
"Chirinos, Yonny",630023,2023,"93","2157","85.0","20","1.4","47.2","25.8",,,,"5.40"
"Okert, Steven",595345,2023,"93.8","2237","58.2","64","38.6","0.1","61.3",,,,"4.45"
"Contreras, Roansy",672710,2023,"94.3","2353","68.1","19","40.2",,"43.4","11.7","3.9",,"6.59"
"McClanahan, Shane",663556,2023,"96.8","2242","115.0","21","41.8","0.1","15.2","17.1","25.8",,"3.29"
"Stanek, Ryne",592773,2023,"98.2","2346","50.2","55","64.2",,"17.6",,,,"4.09"
"Thompson, Mason",666168,2023,"94.5","2230","54.0","51","6.9","56","28.5","8.4","0.2",,"5.50"
"Shreve, Chasen",592741,2023,"90.5","2288","44.2","50","36.3","0.1","1.1",,,,"4.63"
"Morton, Charlie",450203,2023,"94.9","2305","163.1","30","32.4","6.2",,"43.2","10.3","8","3.64"
"Vest, Will",676684,2023,"95.3","2136","48.1","48","51.4","2.9","33.3",,"12.3",,"2.98"
"Buttó, José",676130,2023,"93.8","2383","42.0","9","50.9","5.6","15.1","5.5","22.9",,"3.64"
"Burke, Brock",656271,2023,"94.7","2250","59.2","53","64.4","5.6","18.8",,"11.2",,"4.37"
"Borucki, Ryan",621366,2023,,,"40.1","38",,"20.3","54.7",,"11.2",,"2.45"
"Bird, Jake",656234,2023,"92.2","2099","89.1","70","0.2","59.2","7.1","20","0.2","13.2","4.33"
"Berríos, José",621244,2023,"94.3","2230","189.2","32","20.3","31.5",,,"18.5","0","3.65"
"Peralta, Freddy",642547,2023,"94.4","2414","165.2","30","51.2",,"8.2","12.5","14.6",,"3.86"
"Elder, Bryce",693821,2023,"90.8","2132","174.2","31","12.6","38","35.4",,"14",,"3.81"
"Johnson, Pierce",572955,2023,"95.9","2306","62.2","67","35.2",,"8","56.7",,,"4.02"
"White, Brendan",686839,2023,"94.4","2440","40.2","33","32.4","7.4","31.1",,,,"5.09"
"Soriano, José",667755,2023,"98.9","2169","42.0","38","24.6","14.5","4.9","41.2",,,"3.64"
"Hoeing, Bryan",663773,2023,"93.9","2083","70.2","33","9.1","52.5","31.8",,"2.3",,"5.48"
"Scott, Tanner",656945,2023,"96.8","2598","78.0","74","47.3","0.1","52.6",,,,"2.31"
"Kluber, Corey",446372,2023,"88.3","2278","55.0","15","2","26.6",,"28.2","15.9","27.4","7.04"
"Gibson, Kyle",502043,2023,"92.1","2258","192.0","33","13.5","26.1",,"8.4","17","16.6","4.73"
"Assad, Javier",665871,2023,"93.1","2094","109.1","32","19.6","30.6","3","5","4","27.3","3.05"
"Pérez, Eury",691587,2023,"97.5","2635","91.1","19","45.4",,"30.8","14","9.8",,"3.15"
"Foley, Jason",671345,2023,"97.9","1923","69.0","70","0.3","69","17.4",,"13.4",,"2.61"
"Senga, Kodai",673540,2023,"95.7","2283","166.1","29","37",,"5.8","2.6",,"25","2.98"
"Darvish, Yu",506433,2023,"94.7","2405","136.1","24","16.7","18.6","17.7","11.7","0.1","8.9","4.56"
"Manaea, Sean",640455,2023,"93.8","2056","117.2","37","13.9","43","13.9",,"17","0","4.44"
"Rodriguez, Eduardo",593958,2023,"92.2","2164","152.2","26","45.3","9.5","7.2",,"18.9","19.1","3.30"
"Falter, Bailey",663559,2023,"90.7","2031","80.2","18","45.3","6.3","18.9","22.5","4.6",,"5.36"
"Martin, Chris",455119,2023,"95.7","2184","51.1","55","34.3","15.1","1.4",,,"34.5","1.05"
"Eflin, Zach",621107,2023,"93.1","2229","177.2","31","5.8","32.3","0.3","26.3","5.1","26.1","3.50"
"Nardi, Andrew",677053,2023,"94.6","2276","57.1","63","61.3",,,,"0.9",,"2.67"
"Milner, Hoby",571948,2023,"89","1987","64.1","73","18.6","31",,,"17.3",,"1.82"
"Kirby, George",669923,2023,"96.1","2209","190.2","31","39.4","21.5",,"11.5","1.8","0","3.35"
"Suarez, Ranger",624133,2023,"93.4","1976","125.0","22","21.4","28.2","0.4","19","18.3","12.7","4.18"
"Strahm, Matt",621381,2023,"93.4","2447","87.2","56","45.1","18.8","26.4",,"0.4","9.3","3.29"
"Chapman, Aroldis",547973,2023,"99","2418","58.1","61","47.5","16.5","29",,,,"3.09"
"López, Jorge",605347,2023,"96.9","2071","59.0","61","15.9","34.4","16.3","21.8","11.6",,"5.95"
